primaryImg,name,price,description,isDeleted,sold,view,rating,addDate,quantity,discountPrice,path,filter
https://caycanhonline.vn/wp-content/uploads/2020/06/chau-hinh-thang-247x247.jpg,Chậu tròn vát trồng cây cảnh để bàn đẹp,45000,Sản phẩm Chậu tròn vát trồng cây cảnh để bàn đẹp gồm 01 chậu trồng cây như hình (sản phẩm không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,45000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2020/06/chau-tru-vat-trong-cay-de-ban-247x247.jpg,Chậu trụ vát,60000,Sản phẩm Chậu trụ vát gốm sứ trồng cây cảnh để bàn đẹp kiểu dáng phong cách hiện đại gồm 01 chậu trồng cây như hình (sản phẩm không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,60000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2020/04/chau-trong-cay-in-hinh-ngo-nghinh-247x247.jpg,Chậu vành miệng in hình,30000,Sản phẩm gồm 01 chậu vành miệng in hình ( không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,30000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2020/04/chau-coc-cac-mau-mini-247x247.jpg,Chậu vành miệng mini trồng sen đá xương rồng,15000,Sản phẩm Chậu vành miệng mini trồng sen đá xương rồng gồm 01 chậu trồng cây như hình (sản phẩm không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,15000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2020/04/chau-cay-cam-nhung-dep-247x247.jpg,Chậu vuông bo mini,25000,Sản phẩm gồm 01 chậu trồng cây sen đá xương rồng mini để bàn như hình ( không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,25000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2020/06/chau-vuong-thanh-in-decal-247x247.jpg,Chậu vuông thẳng in hình ngộ nghĩnh,50000,Sản phẩm Chậu vuông thẳng in hình ngộ nghĩnh trồng cây cảnh để bàn sen đá xương rồng cẩm nhung gồm 01 chậu trồng cây như hình (sản phẩm không bao gồm cây và phụ kiện kèm theo).,FALSE,0,0,0,8/27/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-nau-247x247.jpg,Chậu Gốm Nâu,25000,"Chậu gốm nâu trồng cây cảnh để bàn sen đá, xương rồng gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện)",FALSE,0,0,0,8/27/2021,20,25000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-nau-247x247.jpg,Chậu Gốm Nâu,25000,,FALSE,0,0,0,8/27/2021,20,25000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-ang-cap-3-247x247.jpg,Chậu ang trồng tiểu cảnh để bàn,100000,"Chậu ang thẳng trồng cây cảnh để bàn, tiểu cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện)",FALSE,0,0,0,8/27/2021,20,100000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-trong-cay-de-ban-xoan-247x247.jpg,Chậu Vuông Xoáy,50000,Chậu vuông xoáy gốm sứ trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/27/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
