name,price,primaryImg,isDeleted,quantity,discountPrice,description,view,addDate,rating,sold,path,filter
Liên đài trắng 3-5cm (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2666_112e249301bf4b5480c15bf856c67e4a_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Sen viền đỏ (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_2817_5a3d7f7ebcc94d268b27bfb22dd5be0e_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen ngọc bích 3-5cm (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_1724_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen ngọc thạch trắng 3-5cm (bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2068_930946147abb410a8d9b515172c52d2e_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Kim cương trắng 3-5cm (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2848_26fc4cadac574217ba8727111427ff9c_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Sỏi thiên thanh (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2822_1fae4d187bf7486cb3e1540d44898f93_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Sen đóa hồng 2-3cm (bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2855_59f6f3fa125844d68dcbc430f1198cb3_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Sen bánh bao xanh 4-5cm (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_1645_346e335d577e47f88a0de685bac1997a_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen kim tuyến (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_6503_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen đất hồng 3-5cm (chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_2819_de6850ffec874486b232ab9f3078eae3_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen mix 2 loại ngẫu nhiên 3-5cm (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_7923_copy_991b55b2386f481ebf9d84e5abdd13f5_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,MixStoneLotus,",",NonFlower,Colorful,"
Hoa hồng nâu 9-11cm (Chậu nhựa/bịch nhựa),40000,https://product.hstatic.net/1000187613/product/img_0890_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,MediumStoneLotus,",",NonFlower,PurplePlant,"
